bridge_id,bridge_type,material,year_built,age_years,design_life_years,location,corrosion_environment,corrosion_rate_mm_yr,condition_rating,structurally_deficient,adt,deck_area_sqft,tensile_strength_MPa,yield_strength_MPa,paris_C,paris_m,original_thickness_mm,remaining_thickness_mm,fatigue_cycles_millions,replacement_cost_M,loan_outstanding_M,last_inspection_date,insurance_premium_K_yr
BR-00641,Highway,Timber,2003,21,50,Industrial Michigan,Moderate,0.0707,7,0,20245,2306.0,8,5,0.0,0.0,22.2,20.7,155.2,0.86,0.59,2021-07-20,9.2
BR-00642,Interstate,Reinforced Concrete,1974,50,75,Coastal Florida,Severe,0.0715,6,0,83059,2013.0,25,20,0.0,0.0,68.0,64.4,1515.8,0.61,0.3,2020-11-28,11.5
BR-00643,Interstate,Steel (A514 HY),1943,81,75,Coastal Carolina,Severe,0.0711,6,0,57343,2056.0,760,690,4.5e-12,3.2,21.7,15.9,1695.3,0.42,0.16,2023-03-06,6.3
BR-00644,Interstate,Composite Steel-Concrete,1955,69,50,Urban Northeast,Moderate,0.0674,5,0,13126,1663.0,400,230,6.5e-12,3.0,51.9,47.3,330.6,0.47,0.27,2021-01-22,11.2
BR-00645,Highway,Steel (A588 Weathering),2011,13,100,Rural Mountain,Mild,0.015,9,0,14904,1745.0,485,345,5.2e-12,2.8,15.9,15.7,70.7,0.34,0.2,2023-04-23,5.1
BR-00646,Local Road,Composite Steel-Concrete,1973,51,50,Rural Midwest,Mild,0.0366,8,0,807,7753.0,400,230,6.5e-12,3.0,68.8,66.9,15.0,2.03,1.17,2022-12-14,30.6
BR-00647,Local Road,Composite Steel-Concrete,1966,58,100,Desert Southwest,Mild,0.0267,8,0,1120,815.0,400,230,6.5e-12,3.0,55.0,53.4,23.7,0.2,0.07,2023-03-08,4.0
BR-00648,Highway,Steel (A514 HY),1954,70,100,Coastal Florida,Severe,0.0998,3,1,12040,1584.0,760,690,4.5e-12,3.2,14.8,7.8,307.6,0.5,0.34,2020-10-28,6.0
BR-00649,Highway,Steel (A588 Weathering),2010,14,75,Pacific Northwest,Mild,0.0235,8,0,13445,14884.0,485,345,5.2e-12,2.8,12.9,12.5,68.7,4.63,3.21,2020-01-09,78.8
BR-00650,Highway,Reinforced Concrete,1990,34,75,Industrial Ohio,Moderate,0.0265,8,0,24235,3226.0,25,20,0.0,0.0,52.3,51.4,300.8,1.18,0.86,2021-03-15,11.9
BR-00651,Pedestrian,Prestressed Concrete,1978,46,60,Rural South,Mild,0.0182,8,0,5812,533.0,35,28,0.0,0.0,66.2,65.4,9.8,0.19,0.11,2020-03-16,3.6
BR-00652,Railroad,Steel (A36),1997,27,50,Coastal California,Moderate,0.0743,7,0,65,471.0,450,250,6.9e-12,3.0,18.3,16.2,32.0,0.1,0.03,2020-10-18,2.1
BR-00653,Railroad,Steel (A36),1959,65,75,Rural Mountain,Mild,0.0144,8,0,15,3701.0,450,250,6.9e-12,3.0,14.1,13.2,17.8,0.81,0.43,2021-01-28,10.2
BR-00654,Highway,Prestressed Concrete,1996,28,75,Rural Mountain,Mild,0.0116,8,0,21080,1629.0,35,28,0.0,0.0,46.3,46.0,215.4,0.5,0.32,2021-03-01,11.8
BR-00655,Interstate,Prestressed Concrete,2015,9,75,Industrial New Jersey,Moderate,0.0534,9,0,24505,621.0,35,28,0.0,0.0,59.6,59.1,80.5,0.24,0.12,2020-06-14,4.3
BR-00656,Highway,Steel (A36),1948,76,75,Industrial Ohio,Moderate,0.0869,3,1,23561,361.0,450,250,6.9e-12,3.0,14.1,7.5,653.6,0.06,0.02,2022-07-14,1.0
BR-00657,Highway,Composite Steel-Concrete,2013,11,75,Rural Mountain,Mild,0.0155,9,0,26283,1711.0,400,230,6.5e-12,3.0,64.8,64.7,105.5,0.35,0.21,2022-11-14,5.8
BR-00658,Railroad,Steel (A36),2009,15,100,Coastal Florida,Severe,0.0788,8,0,85,663.0,450,250,6.9e-12,3.0,12.0,10.8,23.3,0.11,0.08,2023-02-26,1.1
BR-00659,Interstate,Timber,1949,75,50,Urban Midwest,Moderate,0.0585,5,0,22091,5381.0,8,5,0.0,0.0,17.8,13.5,604.7,1.49,0.94,2020-02-17,12.1
BR-00660,Interstate,Steel (A36),1966,58,75,Desert Southwest,Mild,0.0145,9,0,24177,905.0,450,250,6.9e-12,3.0,16.2,15.4,511.8,0.31,0.14,2021-09-21,3.4
BR-00661,Pedestrian,Stainless Steel 316L,1964,60,60,Coastal Florida,Severe,0.0188,8,0,2335,1048.0,515,205,3.1e-12,3.2,23.6,22.4,5.1,0.2,0.14,2023-04-03,3.0
BR-00662,Highway,Reinforced Concrete,2006,18,75,Industrial Ohio,Moderate,0.0414,8,0,8013,1277.0,25,20,0.0,0.0,49.6,48.8,52.6,0.3,0.16,2022-04-02,4.8
BR-00663,Local Road,Steel (A36),1957,67,50,Urban Northeast,Moderate,0.0811,5,0,8048,794.0,450,250,6.9e-12,3.0,22.7,17.3,196.8,0.2,0.12,2022-09-17,4.8
BR-00664,Interstate,Timber,1963,61,60,Urban Northeast,Moderate,0.0334,8,0,77764,1705.0,8,5,0.0,0.0,31.9,29.8,1731.4,0.67,0.35,2023-05-14,11.9
BR-00665,Interstate,Prestressed Concrete,2022,2,75,Coastal Carolina,Severe,0.0288,9,0,51584,1847.0,35,28,0.0,0.0,46.4,46.3,37.7,0.48,0.29,2020-04-17,11.7
BR-00666,Highway,Composite Steel-Concrete,1975,49,50,Urban Midwest,Moderate,0.0359,8,0,45784,10754.0,400,230,6.5e-12,3.0,55.7,54.0,818.8,4.02,1.25,2021-02-04,76.2
BR-00667,Interstate,Prestressed Concrete,1984,40,100,Rural Mountain,Mild,0.0077,8,0,28963,4679.0,35,28,0.0,0.0,42.1,41.7,422.9,1.36,1.02,2023-12-12,15.6
BR-00668,Highway,Prestressed Concrete,1990,34,75,Desert Southwest,Mild,0.0084,9,0,22618,1625.0,35,28,0.0,0.0,44.1,43.8,280.7,0.56,0.44,2021-03-20,11.2
BR-00669,Highway,Composite Steel-Concrete,1976,48,75,Coastal Carolina,Severe,0.0743,6,0,9066,5523.0,400,230,6.5e-12,3.0,56.6,53.0,158.8,1.59,0.52,2020-07-03,22.5
BR-00670,Highway,Steel (A588 Weathering),1993,31,50,Industrial New Jersey,Moderate,0.0426,8,0,27607,1757.0,485,345,5.2e-12,2.8,10.3,9.0,312.4,0.67,0.45,2021-05-23,12.7
BR-00671,Interstate,Steel (A36),1986,38,50,Industrial Ohio,Moderate,0.0638,7,0,9756,1358.0,450,250,6.9e-12,3.0,15.6,13.2,135.3,0.23,0.14,2020-03-05,2.4
BR-00672,Highway,Aluminium Alloy,1971,53,75,Desert Southwest,Mild,0.0054,8,0,33219,4123.0,310,275,5e-12,3.1,22.7,22.4,642.6,1.4,0.55,2022-10-24,13.1
BR-00673,Highway,Reinforced Concrete,1957,67,60,Urban Midwest,Moderate,0.0317,8,0,38196,6456.0,25,20,0.0,0.0,47.7,45.6,934.1,1.34,0.88,2023-08-26,30.2
BR-00674,Interstate,Steel (A36),1978,46,50,Industrial Ohio,Moderate,0.0707,6,0,20407,2229.0,450,250,6.9e-12,3.0,15.9,12.6,342.6,0.6,0.38,2021-12-25,14.3
BR-00675,Local Road,Steel (A588 Weathering),1946,78,50,Coastal Carolina,Severe,0.0441,5,0,3966,4270.0,485,345,5.2e-12,2.8,10.5,7.1,112.9,1.17,0.63,2022-04-05,20.1
BR-00676,Highway,Reinforced Concrete,1967,57,60,Rural Midwest,Mild,0.0095,9,0,26951,1573.0,25,20,0.0,0.0,68.1,67.6,560.7,0.36,0.19,2020-08-05,3.7
BR-00677,Highway,Timber,1983,41,60,Urban West,Mild,0.0349,8,0,25089,5332.0,8,5,0.0,0.0,27.4,25.9,375.5,1.03,0.78,2020-06-05,12.7
BR-00678,Interstate,Timber,1962,62,100,Urban Midwest,Moderate,0.0407,7,0,57044,4431.0,8,5,0.0,0.0,34.8,32.3,1290.9,0.82,0.48,2023-04-01,11.2
BR-00679,Highway,Timber,1985,39,60,Coastal Texas,Severe,0.0711,7,0,9609,1174.0,8,5,0.0,0.0,17.2,14.4,136.8,0.23,0.15,2023-03-10,2.5
BR-00680,Interstate,Steel (A36),1931,93,100,Industrial Michigan,Moderate,0.0457,5,0,122127,358.0,450,250,6.9e-12,3.0,17.7,13.5,4145.6,0.08,0.03,2023-05-21,1.0
BR-00681,Highway,Steel (A36),1966,58,75,Urban Northeast,Moderate,0.0702,6,0,32253,285.0,450,250,6.9e-12,3.0,15.9,11.8,682.8,0.05,0.02,2023-08-16,1.2
BR-00682,Highway,Steel (A588 Weathering),1991,33,75,Pacific Northwest,Mild,0.0184,9,0,8972,7182.0,485,345,5.2e-12,2.8,20.9,20.3,108.1,1.43,0.94,2023-10-13,20.7
BR-00683,Highway,Steel (A588 Weathering),1999,25,75,Coastal Carolina,Severe,0.0259,8,0,49865,813.0,485,345,5.2e-12,2.8,20.7,20.0,455.0,0.14,0.11,2021-11-21,2.7
BR-00684,Interstate,Steel (A36),1981,43,100,Rural South,Mild,0.0471,7,0,7264,875.0,450,250,6.9e-12,3.0,14.0,12.0,114.0,0.3,0.23,2020-07-26,6.4
BR-00685,Highway,Prestressed Concrete,1975,49,60,Coastal California,Moderate,0.0344,8,0,48962,1035.0,35,28,0.0,0.0,66.0,64.3,875.7,0.16,0.11,2020-12-21,3.5
BR-00686,Highway,Timber,1996,28,75,Industrial Ohio,Moderate,0.0578,7,0,8409,4605.0,8,5,0.0,0.0,35.7,34.1,85.9,1.82,0.9,2020-07-12,23.0
BR-00687,Highway,Prestressed Concrete,1981,43,75,Pacific Northwest,Mild,0.0186,9,0,54865,1128.0,35,28,0.0,0.0,63.4,62.6,861.1,0.24,0.14,2023-08-01,5.5
BR-00688,Highway,Prestressed Concrete,1995,29,75,Coastal Florida,Severe,0.065,8,0,18357,1265.0,35,28,0.0,0.0,66.1,64.2,194.3,0.47,0.17,2023-05-21,5.6
BR-00689,Local Road,Timber,1993,31,75,Coastal Carolina,Severe,0.0616,8,0,1426,3475.0,8,5,0.0,0.0,35.6,33.7,16.1,1.09,0.47,2021-11-07,17.4
BR-00690,Railroad,Timber,1984,40,100,Coastal Florida,Severe,0.071,6,0,73,3096.0,8,5,0.0,0.0,22.2,19.4,53.3,0.63,0.29,2020-03-21,8.9
BR-00691,Interstate,Steel (A36),1961,63,100,Coastal California,Moderate,0.0893,5,0,23184,2596.0,450,250,6.9e-12,3.0,17.9,12.2,533.1,0.68,0.3,2023-04-03,15.6
BR-00692,Highway,Steel (A36),1969,55,75,Urban Northeast,Moderate,0.0443,7,0,28744,423.0,450,250,6.9e-12,3.0,22.3,19.9,577.0,0.13,0.04,2023-03-28,2.1
BR-00693,Interstate,Composite Steel-Concrete,1976,48,50,Coastal Florida,Severe,0.0798,5,0,24821,2093.0,400,230,6.5e-12,3.0,47.7,43.8,434.9,0.64,0.35,2020-03-08,7.8
BR-00694,Railroad,Prestressed Concrete,1965,59,100,Coastal Florida,Severe,0.0407,7,0,90,1052.0,35,28,0.0,0.0,40.2,37.8,96.9,0.26,0.08,2022-04-04,3.4
BR-00695,Railroad,Prestressed Concrete,1965,59,75,Rural Midwest,Mild,0.0101,9,0,68,3738.0,35,28,0.0,0.0,52.1,51.5,73.2,1.46,0.81,2021-06-22,14.6
BR-00696,Highway,Reinforced Concrete,1952,72,60,Urban West,Mild,0.0198,8,0,62605,2318.0,25,20,0.0,0.0,67.8,66.4,1645.3,0.78,0.55,2022-07-11,8.1
BR-00697,Railroad,Composite Steel-Concrete,1959,65,75,Coastal California,Moderate,0.0988,4,1,72,684.0,400,230,6.5e-12,3.0,51.7,45.3,85.4,0.27,0.19,2021-06-21,2.4
BR-00698,Railroad,Composite Steel-Concrete,1964,60,75,Industrial Michigan,Moderate,0.0431,7,0,102,3632.0,400,230,6.5e-12,3.0,54.9,52.3,111.7,1.15,0.55,2022-08-26,12.7
BR-00699,Interstate,Steel (A36),1950,74,100,Coastal Carolina,Severe,0.069,5,0,31058,2115.0,450,250,6.9e-12,3.0,15.3,10.2,838.9,0.69,0.26,2022-07-14,6.0
BR-00700,Interstate,Aluminium Alloy,1956,68,60,Industrial New Jersey,Moderate,0.0287,7,0,14987,1983.0,310,275,5e-12,3.1,38.3,36.3,372.0,0.37,0.24,2020-05-26,4.1
BR-00701,Local Road,Prestressed Concrete,1992,32,50,Rural South,Mild,0.0315,8,0,614,2256.0,35,28,0.0,0.0,42.4,41.4,7.2,0.9,0.29,2020-09-27,19.0
BR-00702,Local Road,Reinforced Concrete,1992,32,60,Coastal Texas,Severe,0.0343,8,0,1084,1696.0,25,20,0.0,0.0,66.4,65.3,12.7,0.66,0.23,2021-12-04,13.8
BR-00703,Highway,Composite Steel-Concrete,2001,23,75,Industrial New Jersey,Moderate,0.061,8,0,21309,3841.0,400,230,6.5e-12,3.0,45.4,44.0,178.9,1.27,0.49,2022-05-22,18.4
BR-00704,Local Road,Steel (A514 HY),1973,51,75,Rural South,Mild,0.036,8,0,5425,2433.0,760,690,4.5e-12,3.2,14.7,12.9,101.0,0.73,0.38,2023-02-15,12.8
BR-00705,Local Road,Prestressed Concrete,1956,68,50,Desert Southwest,Mild,0.0088,9,0,3748,2425.0,35,28,0.0,0.0,45.4,44.8,93.0,0.42,0.3,2022-12-26,8.8
BR-00706,Local Road,Timber,1973,51,100,Coastal Texas,Severe,0.0535,7,0,2871,1104.0,8,5,0.0,0.0,18.5,15.8,53.4,0.25,0.12,2022-08-13,2.8
BR-00707,Pedestrian,Reinforced Concrete,1963,61,60,Industrial New Jersey,Moderate,0.0507,6,0,10087,3566.0,25,20,0.0,0.0,48.8,45.7,22.5,0.78,0.34,2021-02-27,7.3
BR-00708,Interstate,Cast Iron,1997,27,75,Urban Northeast,Moderate,0.0303,9,0,26736,3896.0,200,130,1.2e-11,3.8,12.0,11.1,263.5,0.92,0.5,2022-11-09,16.3
BR-00709,Railroad,Steel (A36),1954,70,75,Coastal Texas,Severe,0.11,3,1,37,6677.0,450,250,6.9e-12,3.0,10.6,2.9,47.3,2.59,1.48,2023-11-08,45.2
BR-00710,Interstate,Prestressed Concrete,1943,81,75,Rural Midwest,Mild,0.0228,7,0,42682,825.0,35,28,0.0,0.0,48.2,46.4,1261.9,0.23,0.08,2021-11-25,2.0
BR-00711,Interstate,Reinforced Concrete,1989,35,60,Coastal Texas,Severe,0.039,8,0,22025,805.0,25,20,0.0,0.0,58.4,57.0,281.4,0.21,0.12,2020-01-07,2.2
BR-00712,Interstate,FRP Composite,1990,34,60,Coastal Texas,Severe,0.0295,9,0,14774,265.0,600,500,0.0,0.0,27.9,26.9,183.3,0.1,0.04,2020-10-03,2.5
BR-00713,Interstate,Reinforced Concrete,1954,70,60,Urban West,Mild,0.0249,8,0,24334,1776.0,25,20,0.0,0.0,67.0,65.2,621.7,0.46,0.24,2022-07-27,7.9
BR-00714,Interstate,Prestressed Concrete,2023,1,75,Rural South,Mild,0.0307,9,0,61476,570.0,35,28,0.0,0.0,63.9,63.9,22.4,0.11,0.06,2022-12-08,1.4
BR-00715,Pedestrian,Prestressed Concrete,1961,63,75,Urban West,Mild,0.0315,7,0,5298,4728.0,35,28,0.0,0.0,63.9,61.9,12.2,1.01,0.44,2023-11-09,19.0
BR-00716,Highway,Prestressed Concrete,1994,30,75,Urban Northeast,Moderate,0.019,8,0,12065,5195.0,35,28,0.0,0.0,58.7,58.2,132.1,1.42,0.48,2023-02-12,14.2
BR-00717,Interstate,Steel (A36),1982,42,75,Rural Midwest,Mild,0.0435,6,0,13221,3641.0,450,250,6.9e-12,3.0,23.1,21.3,202.7,1.36,0.89,2023-10-08,17.6
BR-00718,Highway,Aluminium Alloy,1973,51,60,Rural Mountain,Mild,0.0078,9,0,22816,963.0,310,275,5e-12,3.1,26.0,25.6,424.7,0.25,0.19,2020-07-09,2.8
BR-00719,Pedestrian,Prestressed Concrete,1999,25,75,Coastal Carolina,Severe,0.0354,7,0,6859,1208.0,35,28,0.0,0.0,59.0,58.2,6.3,0.2,0.16,2023-09-06,4.9
BR-00720,Highway,Steel (A514 HY),1942,82,75,Urban Northeast,Moderate,0.0633,5,0,18172,3323.0,760,690,4.5e-12,3.2,15.1,9.9,543.9,1.25,0.46,2021-01-16,11.6
BR-00721,Railroad,Prestressed Concrete,1975,49,100,Coastal Texas,Severe,0.059,7,0,41,2467.0,35,28,0.0,0.0,51.3,48.4,36.7,0.88,0.38,2021-04-20,19.2
BR-00722,Local Road,Steel (A36),2001,23,75,Coastal Florida,Severe,0.0775,9,0,3420,581.0,450,250,6.9e-12,3.0,24.6,22.8,28.7,0.12,0.08,2023-01-21,1.6
BR-00723,Interstate,Reinforced Concrete,2004,20,75,Rural Mountain,Mild,0.0107,9,0,11490,4560.0,25,20,0.0,0.0,47.5,47.3,83.9,1.49,1.14,2021-04-09,21.5
BR-00724,Interstate,Prestressed Concrete,1971,53,75,Rural Midwest,Mild,0.0217,8,0,27214,1031.0,35,28,0.0,0.0,64.0,62.9,526.5,0.19,0.1,2023-02-05,2.1
BR-00725,Highway,Prestressed Concrete,1996,28,100,Urban Northeast,Moderate,0.0402,7,0,31877,1643.0,35,28,0.0,0.0,40.2,39.1,325.8,0.52,0.37,2023-05-17,4.5
BR-00726,Interstate,Timber,1980,44,100,Coastal Texas,Severe,0.0561,7,0,29060,1138.0,8,5,0.0,0.0,29.6,27.1,466.7,0.35,0.22,2020-11-14,4.7
BR-00727,Interstate,Steel (A514 HY),1988,36,60,Pacific Northwest,Mild,0.0403,8,0,35810,5589.0,760,690,4.5e-12,3.2,14.6,13.1,470.5,0.92,0.45,2021-05-08,13.6
BR-00728,Pedestrian,Aluminium Alloy,1988,36,75,Industrial Michigan,Moderate,0.0328,8,0,4267,842.0,310,275,5e-12,3.1,18.7,17.5,5.6,0.2,0.16,2023-09-21,4.9
BR-00729,Interstate,Reinforced Concrete,1986,38,75,Pacific Northwest,Mild,0.0164,9,0,29338,4797.0,25,20,0.0,0.0,60.5,59.9,406.9,1.8,1.23,2020-08-05,39.1
BR-00730,Railroad,Composite Steel-Concrete,1999,25,75,Industrial New Jersey,Moderate,0.0462,9,0,24,2050.0,400,230,6.5e-12,3.0,54.3,53.1,11.0,0.42,0.31,2023-08-12,5.3
BR-00731,Interstate,Prestressed Concrete,1982,42,75,Pacific Northwest,Mild,0.019,8,0,29493,777.0,35,28,0.0,0.0,66.6,65.8,452.1,0.22,0.09,2020-01-11,2.6
BR-00732,Highway,Steel (A514 HY),1981,43,60,Rural South,Mild,0.0364,8,0,57422,309.0,760,690,4.5e-12,3.2,16.5,15.0,901.2,0.11,0.04,2021-05-18,1.6
BR-00733,Highway,Steel (A588 Weathering),1963,61,100,Coastal Texas,Severe,0.0406,7,0,15012,1295.0,485,345,5.2e-12,2.8,11.6,9.1,334.2,0.35,0.21,2022-08-14,7.1
BR-00734,Interstate,Steel (A36),2001,23,60,Rural Midwest,Mild,0.0327,9,0,48021,959.0,450,250,6.9e-12,3.0,13.3,12.6,403.1,0.28,0.14,2022-08-28,4.9
BR-00735,Interstate,Steel (A36),1940,84,75,Coastal Carolina,Severe,0.0746,5,0,16520,1250.0,450,250,6.9e-12,3.0,16.1,9.8,506.5,0.34,0.14,2022-06-07,4.7
BR-00736,Highway,Steel (A36),2006,18,75,Coastal California,Moderate,0.0843,8,0,22365,1576.0,450,250,6.9e-12,3.0,18.0,16.4,146.9,0.55,0.35,2020-02-25,9.0
BR-00737,Interstate,Reinforced Concrete,2007,17,75,Coastal Texas,Severe,0.0678,8,0,23153,3536.0,25,20,0.0,0.0,58.0,56.8,143.7,0.65,0.51,2022-05-02,15.6
BR-00738,Interstate,Prestressed Concrete,1960,64,75,Urban Northeast,Moderate,0.0253,9,0,11180,1609.0,35,28,0.0,0.0,65.9,64.2,261.2,0.4,0.26,2021-03-28,4.3
BR-00739,Highway,Stainless Steel 316L,1967,57,75,Industrial New Jersey,Moderate,0.0105,9,0,39624,3140.0,515,205,3.1e-12,3.2,13.1,12.5,824.4,0.69,0.35,2023-07-19,11.7
BR-00740,Interstate,Steel (A36),1964,60,75,Urban Midwest,Moderate,0.0706,7,0,9238,890.0,450,250,6.9e-12,3.0,11.5,7.3,202.3,0.26,0.11,2020-06-13,2.9
BR-00741,Railroad,Prestressed Concrete,2005,19,75,Desert Southwest,Mild,0.0116,9,0,95,3597.0,35,28,0.0,0.0,42.1,41.9,32.9,0.79,0.45,2023-09-16,10.2
BR-00742,Local Road,Steel (A36),1986,38,75,Industrial Michigan,Moderate,0.0371,8,0,8349,1824.0,450,250,6.9e-12,3.0,13.7,12.3,115.8,0.45,0.36,2020-03-07,6.0
BR-00743,Highway,Steel (A588 Weathering),1976,48,100,Coastal Texas,Severe,0.0348,7,0,27482,278.0,485,345,5.2e-12,2.8,20.4,18.7,481.5,0.09,0.03,2020-03-13,1.7
BR-00744,Pedestrian,Steel (A36),1942,82,50,Coastal Carolina,Severe,0.0971,3,1,4997,1347.0,450,250,6.9e-12,3.0,20.6,12.6,15.0,0.45,0.36,2021-04-28,7.7
BR-00745,Railroad,Composite Steel-Concrete,1963,61,50,Urban Northeast,Moderate,0.076,5,0,19,847.0,400,230,6.5e-12,3.0,57.9,53.3,21.2,0.32,0.25,2020-07-27,3.5
BR-00746,Highway,Steel (A36),1969,55,75,Urban Midwest,Moderate,0.0532,7,0,14769,2397.0,450,250,6.9e-12,3.0,19.4,16.4,296.5,0.47,0.32,2023-12-01,7.3
BR-00747,Local Road,Steel (A36),1990,34,75,Urban Midwest,Moderate,0.0559,7,0,8310,2566.0,450,250,6.9e-12,3.0,16.2,14.3,103.1,0.4,0.26,2021-09-09,6.9
BR-00748,Interstate,Stainless Steel 316L,2013,11,60,Coastal California,Moderate,0.0138,9,0,29353,2924.0,515,205,3.1e-12,3.2,16.2,16.0,117.9,1.08,0.81,2021-07-14,16.9
BR-00749,Highway,Prestressed Concrete,1957,67,75,Rural Mountain,Mild,0.0145,8,0,8002,1808.0,35,28,0.0,0.0,56.7,55.7,195.7,0.42,0.17,2023-04-07,8.6
BR-00750,Highway,Stainless Steel 316L,1982,42,100,Rural Midwest,Mild,0.0043,9,0,10132,468.0,515,205,3.1e-12,3.2,19.8,19.7,155.3,0.15,0.11,2020-07-14,1.4
BR-00751,Highway,Steel (A514 HY),1985,39,75,Rural South,Mild,0.0391,8,0,8867,1917.0,760,690,4.5e-12,3.2,14.4,12.8,126.2,0.68,0.24,2021-07-11,15.6
BR-00752,Local Road,Cast Iron,1993,31,60,Coastal California,Moderate,0.0228,8,0,1491,685.0,200,130,1.2e-11,3.8,11.8,11.1,16.9,0.22,0.1,2022-07-14,4.0
BR-00753,Highway,Steel (A36),1961,63,60,Urban Northeast,Moderate,0.0567,6,0,36399,946.0,450,250,6.9e-12,3.0,22.2,18.6,837.0,0.27,0.1,2023-10-13,2.7
BR-00754,Interstate,Steel (A588 Weathering),1999,25,60,Urban Northeast,Moderate,0.0432,7,0,16973,1075.0,485,345,5.2e-12,2.8,12.0,10.9,154.9,0.17,0.13,2023-01-17,3.0
BR-00755,Highway,Reinforced Concrete,1951,73,75,Coastal Carolina,Severe,0.0492,6,0,13030,1046.0,25,20,0.0,0.0,55.5,51.9,347.2,0.4,0.3,2020-05-13,5.6
BR-00756,Railroad,Prestressed Concrete,1962,62,75,Pacific Northwest,Mild,0.0154,8,0,39,951.0,35,28,0.0,0.0,62.5,61.5,44.1,0.27,0.18,2022-08-20,3.8
BR-00757,Railroad,Aluminium Alloy,1995,29,50,Coastal Florida,Severe,0.0598,7,0,80,896.0,310,275,5e-12,3.1,23.0,21.3,42.3,0.31,0.2,2022-02-08,3.7
BR-00758,Highway,Prestressed Concrete,1965,59,75,Coastal Florida,Severe,0.0769,5,0,31908,2099.0,35,28,0.0,0.0,69.8,65.3,687.1,0.64,0.43,2022-01-12,8.6
BR-00759,Highway,Prestressed Concrete,1973,51,75,Industrial Michigan,Moderate,0.0406,7,0,4836,584.0,35,28,0.0,0.0,54.5,52.4,90.0,0.23,0.17,2023-07-09,5.4
BR-00760,Pedestrian,Timber,1977,47,75,Coastal California,Moderate,0.0434,8,0,1514,1986.0,8,5,0.0,0.0,24.2,22.2,2.6,0.63,0.41,2023-02-26,8.2
BR-00761,Highway,Steel (A36),1985,39,75,Rural Mountain,Mild,0.0128,8,0,20699,1116.0,450,250,6.9e-12,3.0,24.5,24.0,294.7,0.31,0.14,2021-04-05,3.3
BR-00762,Railroad,Steel (A588 Weathering),1957,67,75,Urban Midwest,Moderate,0.0205,9,0,16,611.0,485,345,5.2e-12,2.8,22.9,21.6,19.6,0.2,0.15,2022-07-03,4.8
BR-00763,Pedestrian,Steel (A36),1975,49,75,Rural Midwest,Mild,0.0216,8,0,537,4944.0,450,250,6.9e-12,3.0,21.4,20.3,1.0,1.38,0.83,2020-08-14,34.2
BR-00764,Highway,Reinforced Concrete,2005,19,100,Industrial Ohio,Moderate,0.0205,9,0,55748,2022.0,25,20,0.0,0.0,57.9,57.5,386.6,0.48,0.19,2022-11-09,8.2
BR-00765,Local Road,Reinforced Concrete,1963,61,75,Urban West,Mild,0.0127,9,0,2454,1643.0,25,20,0.0,0.0,64.4,63.6,54.6,0.25,0.09,2021-08-21,5.8
BR-00766,Highway,Steel (A588 Weathering),2022,2,60,Coastal Texas,Severe,0.0417,9,0,20609,2216.0,485,345,5.2e-12,2.8,15.1,15.0,15.0,0.45,0.18,2020-06-22,7.2
BR-00767,Interstate,Steel (A36),1971,53,75,Pacific Northwest,Mild,0.0333,8,0,34108,2962.0,450,250,6.9e-12,3.0,20.2,18.4,659.8,1.06,0.49,2023-06-17,14.0
BR-00768,Pedestrian,Steel (A36),1970,54,75,Rural Midwest,Mild,0.0226,8,0,14198,1230.0,450,250,6.9e-12,3.0,18.9,17.7,28.0,0.45,0.21,2021-10-10,5.5
BR-00769,Interstate,Steel (A36),1996,28,100,Pacific Northwest,Mild,0.0523,7,0,23830,730.0,450,250,6.9e-12,3.0,21.8,20.4,243.5,0.24,0.14,2020-07-12,5.3
BR-00770,Local Road,Reinforced Concrete,1982,42,75,Coastal Texas,Severe,0.0323,8,0,3869,12134.0,25,20,0.0,0.0,47.8,46.4,59.3,3.36,2.39,2021-06-27,51.7
BR-00771,Pedestrian,Composite Steel-Concrete,1985,39,75,Coastal Texas,Severe,0.1096,5,0,13783,1197.0,400,230,6.5e-12,3.0,60.4,56.1,19.6,0.44,0.34,2021-05-17,10.9
BR-00772,Highway,FRP Composite,1969,55,50,Coastal Texas,Severe,0.032,8,0,11416,1387.0,600,500,0.0,0.0,30.4,28.6,229.2,0.35,0.27,2022-10-07,3.2
BR-00773,Local Road,Composite Steel-Concrete,2003,21,75,Coastal Florida,Severe,0.1086,8,0,11192,1006.0,400,230,6.5e-12,3.0,44.4,42.1,85.8,0.16,0.09,2021-08-04,2.4
BR-00774,Highway,Reinforced Concrete,1972,52,60,Coastal Carolina,Severe,0.0258,8,0,32188,6325.0,25,20,0.0,0.0,55.3,54.0,610.9,1.39,1.06,2022-04-04,32.0
BR-00775,Highway,Reinforced Concrete,1993,31,60,Coastal Texas,Severe,0.0452,8,0,22469,3672.0,25,20,0.0,0.0,44.8,43.4,254.2,1.2,0.47,2023-01-27,12.2
BR-00776,Highway,Prestressed Concrete,1986,38,60,Industrial Michigan,Moderate,0.0276,8,0,21144,2027.0,35,28,0.0,0.0,49.0,47.9,293.3,0.6,0.35,2022-01-28,6.3
BR-00777,Interstate,Reinforced Concrete,1985,39,50,Urban West,Mild,0.0186,8,0,15212,2364.0,25,20,0.0,0.0,65.5,64.7,216.5,0.59,0.37,2021-06-16,4.8
